number,ja-Hrkt,en,it,es,de,fr,ko,zh-Hans,zh-Hant
0001,フシギダネ,Bulbasaur,Bulbasaur,Bulbasaur,Bisasam,Bulbizarre,이상해씨,妙蛙种子,妙蛙種子
0002,フシギソウ,Ivysaur,Ivysaur,Ivysaur,Bisaknosp,Herbizarre,이상해풀,妙蛙草,妙蛙草
0003,フシギバナ,Venusaur,Venusaur,Venusaur,Bisaflor,Florizarre,이상해꽃,妙蛙花,妙蛙花
0004,ヒトカゲ,Charmander,Charmander,Charmander,Glumanda,Salameche,파이리,小火龙,小火龍
0005,リザード,Charmeleon,Charmeleon,Charmeleon,Glutexo,Reptincel,리자드,火恐龙,火恐龍
0006,リザードン,Charizard,Charizard,Charizard,Glurak,Dracaufeu,리자몽,喷火龙,噴火龍
0007,ゼニガメ,Squirtle,Squirtle,Squirtle,Schiggy,Carapuce,꼬부기,杰尼龟,傑尼龜
0008,カメール,Wartortle,Wartortle,Wartortle,Schillok,Carabaffe,어니부기,卡咪龟,卡咪龜
0009,カメックス,Blastoise,Blastoise,Blastoise,Turtok,Tortank,거북왕,水箭龟,水箭龜
0010,キャタピー,Caterpie,Caterpie,Caterpie,Raupy,Chenipan,캐터피,绿毛虫,綠毛蟲
0011,トランセル,Metapod,Metapod,Metapod,Safcon,Chrysacier,단데기,铁甲蛹,鐵甲蛹
0012,バタフリー,Butterfree,Butterfree,Butterfree,Smettbo,Papilusion,버터플,巴大蝶,巴大蝶
0013,ビードル,Weedle,Weedle,Weedle,Hornliu,Aspicot,뿔충이,独角虫,獨角蟲
0014,コクーン,Kakuna,Kakuna,Kakuna,Kokuna,Coconfort,딱충이,铁壳蛹,鐵殼蛹
0015,スピアー,Beedrill,Beedrill,Beedrill,Bibor,Dardagnan,독침붕,大针蜂,大針蜂
0016,ポッポ,Pidgey,Pidgey,Pidgey,Taubsi,Roucool,구구,波波,波波
0017,ピジョン,Pidgeotto,Pidgeotto,Pidgeotto,Tauboga,Roucoups,피죤,比比鸟,比比鳥
0018,ピジョット,Pidgeot,Pidgeot,Pidgeot,Tauboss,Roucarnage,피죤투,大比鸟,大比鳥
0019,コラッタ,Rattata,Rattata,Rattata,Rattfratz,Rattata,꼬렛,小拉达,小拉達
0020,ラッタ,Raticate,Raticate,Raticate,Rattikarl,Rattatac,레트라,拉达,拉達
0021,オニスズメ,Spearow,Spearow,Spearow,Habitak,Piafabec,깨비참,烈雀,烈雀
0022,オニドリル,Fearow,Fearow,Fearow,Ibitak,Rapasdepic,깨비드릴조,大嘴雀,大嘴雀
0023,アーボ,Ekans,Ekans,Ekans,Rettan,Abo,아보,阿柏蛇,阿柏蛇
0024,アーボック,Arbok,Arbok,Arbok,Arbok,Arbok,아보크,阿柏怪,阿柏怪
0025,ピカチュウ,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,피카츄,皮卡丘,皮卡丘
0026,ライチュウ,Raichu,Raichu,Raichu,Raichu,Raichu,라이츄,雷丘,雷丘
0027,サンド,Sandshrew,Sandshrew,Sandshrew,Sandan,Sabelette,모래두지,穿山鼠,穿山鼠
0028,サンドパン,Sandslash,Sandslash,Sandslash,Sandamer,Sablaireau,고지,穿山王,穿山王
0029,ニドラン♀,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,니드런♀,尼多兰,尼多蘭
0030,ニドリーナ,Nidorina,Nidorina,Nidorina,Nidorina,Nidorina,니드리나,尼多娜,尼多娜
0031,ニドクイン,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,니드퀸,尼多后,尼多后
0032,ニドラン♂,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,니드런♂,尼多朗,尼多朗
0033,ニドリーノ,Nidorino,Nidorino,Nidorino,Nidorino,Nidorino,니드리노,尼多力诺,尼多力諾
0034,ニドキング,Nidoking,Nidoking,Nidoking,Nidoking,Nidoking,니드킹,尼多王,尼多王
0035,ピッピ,Clefairy,Clefairy,Clefairy,Piepi,Melofee,삐삐,皮皮,皮皮
0036,ピクシー,Clefable,Clefable,Clefable,Pixi,Melodelfe,픽시,皮可西,皮可西
0037,ロコン,Vulpix,Vulpix,Vulpix,Vulpix,Goupix,식스테일,六尾,六尾
0038,キュウコン,Ninetales,Ninetales,Ninetales,Vulnona,Feunard,나인테일,九尾,九尾
0039,プリン,Jigglypuff,Jigglypuff,Jigglypuff,Pummeluff,Rondoudou,푸린,胖丁,胖丁
0040,プクリン,Wigglytuff,Wigglytuff,Wigglytuff,Knuddeluff,Grodoudou,푸크린,胖可丁,胖可丁
0041,ズバット,Zubat,Zubat,Zubat,Zubat,Nosferapti,주뱃,超音蝠,超音蝠
0042,ゴルバット,Golbat,Golbat,Golbat,Golbat,Nosferalto,골뱃,大嘴蝠,大嘴蝠
0043,ナゾノクサ,Oddish,Oddish,Oddish,Myrapla,Mystherbe,뚜벅쵸,走路草,走路草
0044,クサイハナ,Gloom,Gloom,Gloom,Duflor,Ortide,냄새꼬,臭臭花,臭臭花
0045,ラフレシア,Vileplume,Vileplume,Vileplume,Giflor,Rafflesia,라플레시아,霸王花,霸王花
0046,パラス,Paras,Paras,Paras,Paras,Paras,파라스,派拉斯,派拉斯
0047,パラセクト,Parasect,Parasect,Parasect,Parasek,Parasect,파라섹트,派拉斯特,派拉斯特
0048,コンパン,Venonat,Venonat,Venonat,Bluzuk,Mimitoss,콘팡,毛球,毛球
0049,モルフォン,Venomoth,Venomoth,Venomoth,Omot,Aeromite,도나리,摩鲁蛾,摩魯蛾
0050,ディグダ,Diglett,Diglett,Diglett,Digda,Taupiqueur,디그다,地鼠,地鼠
0051,ダグトリオ,Dugtrio,Dugtrio,Dugtrio,Digdri,Triopikeur,닥트리오,三地鼠,三地鼠
0052,ニャース,Meowth,Meowth,Meowth,Mauzi,Miaouss,나옹,喵喵,喵喵
0053,ペルシアン,Persian,Persian,Persian,Snobilikat,Persian,페르시온,猫老大,貓老大
0054,コダック,Psyduck,Psyduck,Psyduck,Enton,Psykokwak,고라파덕,可达鸭,可達鴨
0055,ゴルダック,Golduck,Golduck,Golduck,Entoron,Akwakwak,골덕,哥达鸭,哥達鴨
0056,マンキー,Mankey,Mankey,Mankey,Menki,Ferosinge,망키,猴怪,猴怪
0057,オコリザル,Primeape,Primeape,Primeape,Rasaff,Colossinge,성원숭,火暴猴,火爆猴
0058,ガーディ,Growlithe,Growlithe,Growlithe,Fukano,Caninos,가디,卡蒂狗,卡蒂狗
0059,ウインディ,Arcanine,Arcanine,Arcanine,Arkani,Arcanin,윈디,风速狗,風速狗
0060,ニョロモ,Poliwag,Poliwag,Poliwag,Quapsel,Ptitard,발챙이,蚊香蝌蚪,蚊香蝌蚪
0061,ニョロゾ,Poliwhirl,Poliwhirl,Poliwhirl,Quaputzi,Tetarte,수륙챙이,蚊香君,蚊香君
0062,ニョロボン,Poliwrath,Poliwrath,Poliwrath,Quappo,Tartard,강챙이,蚊香泳士,蚊香泳士
0063,ケーシィ,Abra,Abra,Abra,Abra,Abra,캐이시,凯西,凱西
0064,ユンゲラー,Kadabra,Kadabra,Kadabra,Kadabra,Kadabra,윤겔라,勇基拉,勇基拉
0065,フーディン,Alakazam,Alakazam,Alakazam,Simsala,Alakazam,후딘,胡地,胡地
0066,ワンリキー,Machop,Machop,Machop,Machollo,Machoc,알통몬,腕力,腕力
